UserID,SessionID,Timestamp,EventType,ProductID,Amount,Outcome
1,1,2024-07-07 18:00:26,page_view,,,
1,1,2024-03-05 22:01:00,page_view,,,
1,1,2024-03-23 22:08:10,product_view,prod_8199,,
1,1,2024-03-12 00:32:05,add_to_cart,prod_4112,,
1,1,2024-02-25 22:43:01,add_to_cart,prod_3354,,
1,1,2024-01-01 23:09:51,page_view,,,
1,1,2024-02-01 05:13:26,add_to_cart,prod_4965,,
1,1,2024-02-14 15:41:53,login,,,
1,1,2024-05-20 23:13:38,click,,,
1,2,2024-06-27 16:17:34,page_view,,,
1,2,2024-03-31 07:56:23,logout,,,
1,2,2024-05-16 22:00:13,click,,,
1,2,2024-04-20 05:07:46,product_view,prod_2683,,
1,2,2024-01-30 21:47:38,page_view,,,
1,2,2024-03-06 23:01:09,page_view,,,
1,3,2024-03-15 05:22:41,purchase,prod_5244,72.9136187,purchase
1,3,2024-01-21 19:23:27,login,,,
1,3,2024-02-13 21:58:06,click,,,
1,3,2024-05-29 13:33:10,product_view,prod_9640,,
1,3,2024-02-02 22:42:42,add_to_cart,prod_8364,,
1,3,2024-02-15 12:46:46,add_to_cart,prod_9851,,
1,3,2024-01-19 15:04:33,page_view,,,
1,3,2024-03-08 20:19:33,login,,,
1,3,2024-07-17 03:46:13,add_to_cart,prod_6426,,
1,4,2024-06-10 00:08:42,product_view,prod_5771,,
1,4,2024-04-26 13:36:29,add_to_cart,prod_8066,,
1,4,2024-02-17 14:08:04,page_view,,,
1,4,2024-01-27 10:05:11,login,,,
1,4,2024-03-30 23:57:26,login,,,
1,4,2024-01-04 09:25:49,add_to_cart,prod_1102,,
1,4,2024-07-15 16:15:52,purchase,prod_9886,7.677937742,purchase
1,4,2024-04-11 12:12:05,page_view,,,
1,4,2024-01-02 00:15:51,add_to_cart,prod_6144,,
1,4,2024-03-19 08:57:34,add_to_cart,prod_5644,,
1,5,2024-01-19 16:51:29,purchase,prod_6690,149.2700474,purchase
1,5,2024-03-26 15:44:57,login,,,
1,5,2024-01-03 23:51:05,logout,,,
1,5,2024-06-27 07:40:55,purchase,prod_9946,359.5891362,purchase
1,5,2024-06-14 21:48:43,page_view,,,
1,5,2024-06-02 21:02:38,click,,,
1,5,2024-03-07 03:03:13,product_view,prod_5175,,
1,5,2024-04-10 13:43:05,purchase,prod_5113,454.1052765,purchase
1,5,2024-02-17 19:31:30,purchase,prod_2362,35.60615571,purchase
1,6,2024-04-03 16:09:16,add_to_cart,prod_4614,,
1,6,2024-06-02 08:21:36,product_view,prod_7475,,
1,6,2024-03-23 07:49:14,logout,,,
1,6,2024-03-21 10:26:12,add_to_cart,prod_3223,,
1,6,2024-03-18 21:56:10,add_to_cart,prod_1192,,
1,6,2024-04-06 00:24:04,add_to_cart,prod_8028,,
1,6,2024-06-15 04:30:08,product_view,prod_9542,,
1,6,2024-04-09 20:07:05,page_view,,,
1,7,2024-01-17 08:27:34,add_to_cart,prod_5915,,
1,7,2024-07-18 01:56:58,product_view,prod_3548,,
1,7,2024-01-28 08:26:04,product_view,prod_1392,,
1,7,2024-04-26 18:16:33,add_to_cart,prod_5032,,
1,7,2024-04-27 18:46:07,add_to_cart,prod_8998,,
1,7,2024-05-30 23:54:59,add_to_cart,prod_9103,,
1,7,2024-03-14 14:34:11,add_to_cart,prod_2436,,
1,7,2024-04-02 11:31:53,product_view,prod_5109,,
1,8,2024-03-12 12:49:18,logout,,,
1,8,2024-04-02 21:22:55,product_view,prod_3790,,
1,8,2024-05-07 01:23:23,page_view,,,
1,8,2024-01-13 19:09:28,product_view,prod_9816,,
1,8,2024-07-18 14:43:52,page_view,,,
1,8,2024-05-05 14:33:28,login,,,
1,8,2024-01-04 17:09:29,click,,,
1,8,2024-02-26 22:44:58,login,,,
1,8,2024-03-07 17:56:51,logout,,,
1,8,2024-04-06 16:05:37,login,,,
1,9,2024-02-08 19:45:50,page_view,,,
1,9,2024-04-25 22:28:12,product_view,prod_8690,,
1,9,2024-06-09 23:14:38,add_to_cart,prod_8685,,
1,9,2024-01-06 04:33:39,page_view,,,
1,9,2024-03-16 05:05:39,purchase,prod_3149,457.6279672,purchase
1,9,2024-06-27 04:30:04,add_to_cart,prod_8010,,
1,9,2024-04-02 02:47:41,product_view,prod_5478,,
1,9,2024-06-07 15:23:28,purchase,prod_9687,459.3386404,purchase
1,10,2024-02-27 23:10:22,login,,,
1,10,2024-05-10 20:23:09,login,,,
